City,Country,Lat,Lng,Hotel Name
Iranshahr,IR,27.202446,60.684758,خوابگاه یاسر ریگیyaser.rigi
Yerkoy,TR,39.638056,34.467222,Yerköy Öğretmenevi
Paranaiba,BR,-19.666667,-51.18333300000001,Villa Rica Park Hotel GMR
Deoband,IN,29.7,77.68333299999998,Anupam Hotel
Mantua,CU,22.2888889,-84.2844444,Hotel Mangos De Roques
Kikwit,CD,-5.038611,18.818056,Guest L'Amour
Richards Bay,ZA,-28.775417,32.054005,BON Hotel Waterfront Richards Bay
Nkhotakota,MW,-12.9166667,34.3,Sitima Inn
Yol,IN,32.166667,76.2,Hotel Gopal
Frutal,BR,-20.033333,-48.916667,Premium Hotel
